state,year,week,incidence
Johor,2010,1,2
Johor,2010,2,5
Johor,2010,3,4
Johor,2010,4,6
Johor,2010,5,7
Johor,2010,6,4
Johor,2010,7,7
Johor,2010,8,5
Johor,2010,9,4
Johor,2010,10,5
Johor,2010,11,14
Johor,2010,12,6
Johor,2010,13,7
Johor,2010,14,8
Johor,2010,15,7
Johor,2010,16,10
Johor,2010,17,10
Johor,2010,18,14
Johor,2010,19,10
Johor,2010,20,8
Johor,2010,21,16
Johor,2010,22,9
Johor,2010,23,9
Johor,2010,24,16
Johor,2010,25,12
Johor,2010,26,19
Johor,2010,27,9
Johor,2010,28,20
Johor,2010,29,19
Johor,2010,30,16
Johor,2010,31,18
Johor,2010,32,17
Johor,2010,33,18
Johor,2010,34,22
Johor,2010,35,21
Johor,2010,36,19
Johor,2010,37,14
Johor,2010,38,24
Johor,2010,39,22
Johor,2010,40,19
Johor,2010,41,16
Johor,2010,42,15
Johor,2010,43,16
Johor,2010,44,8
Johor,2010,45,11
Johor,2010,46,11
Johor,2010,47,16
Johor,2010,48,15
Johor,2010,49,10
Johor,2010,50,8
Johor,2010,51,9
Johor,2010,52,13
Johor,2011,1,8
Johor,2011,2,6
Johor,2011,3,9
Johor,2011,4,6
Johor,2011,5,11
Johor,2011,6,8
Johor,2011,7,11
Johor,2011,8,12
Johor,2011,9,4
Johor,2011,10,3
Johor,2011,11,6
Johor,2011,12,4
Johor,2011,13,3
Johor,2011,14,4
Johor,2011,15,7
Johor,2011,16,3
Johor,2011,17,6
Johor,2011,18,1
Johor,2011,19,6
Johor,2011,20,3
Johor,2011,21,3
Johor,2011,22,3
Johor,2011,23,4
Johor,2011,24,5
Johor,2011,25,7
Johor,2011,26,2
Johor,2011,27,3
Johor,2011,28,2
Johor,2011,29,3
Johor,2011,30,5
Johor,2011,31,2
Johor,2011,32,4
Johor,2011,33,3
Johor,2011,34,1
Johor,2011,35,1
Johor,2011,36,3
Johor,2011,37,2
Johor,2011,38,1
Johor,2011,39,0
Johor,2011,40,2
Johor,2011,41,2
Johor,2011,42,1
Johor,2011,43,0
Johor,2011,44,0
Johor,2011,45,0
Johor,2011,46,0
Johor,2011,47,1
Johor,2011,48,1
Johor,2011,49,1
Johor,2011,50,2
Johor,2011,51,0
Johor,2011,52,1
Johor,2012,1,0
Johor,2012,2,2
Johor,2012,3,1
Johor,2012,4,3
Johor,2012,5,3
Johor,2012,6,2
Johor,2012,7,3
Johor,2012,8,2
Johor,2012,9,1
Johor,2012,10,1
Johor,2012,11,0
Johor,2012,12,2
Johor,2012,13,0
Johor,2012,14,1
Johor,2012,15,0
Johor,2012,16,4
Johor,2012,17,0
Johor,2012,18,1
Johor,2012,19,1
Johor,2012,20,1
Johor,2012,21,1
Johor,2012,22,2
Johor,2012,23,1
