state,year,week,incidence
Johor,2010,1,4
Johor,2010,2,1
Johor,2010,3,12
Johor,2010,4,9
Johor,2010,5,11
Johor,2010,6,11
Johor,2010,7,9
Johor,2010,8,18
Johor,2010,9,7
Johor,2010,10,14
Johor,2010,11,16
Johor,2010,12,15
Johor,2010,13,9
Johor,2010,14,13
Johor,2010,15,11
Johor,2010,16,14
Johor,2010,17,13
Johor,2010,18,20
Johor,2010,19,15
Johor,2010,20,16
Johor,2010,21,18
Johor,2010,22,26
Johor,2010,23,28
Johor,2010,24,26
Johor,2010,25,31
Johor,2010,26,22
Johor,2010,27,23
Johor,2010,28,15
Johor,2010,29,45
Johor,2010,30,29
Johor,2010,31,34
Johor,2010,32,32
Johor,2010,33,23
Johor,2010,34,38
Johor,2010,35,19
Johor,2010,36,18
Johor,2010,37,3
Johor,2010,38,14
Johor,2010,39,17
Johor,2010,40,13
Johor,2010,41,24
Johor,2010,42,25
Johor,2010,43,49
Johor,2010,44,11
Johor,2010,45,37
Johor,2010,46,57
Johor,2010,47,17
Johor,2010,48,10
Johor,2010,49,10
Johor,2010,50,18
Johor,2010,51,13
Johor,2010,52,2
Johor,2011,1,2
Johor,2011,2,1
Johor,2011,3,4
Johor,2011,4,5
Johor,2011,5,1
Johor,2011,6,1
Johor,2011,7,5
Johor,2011,8,7
Johor,2011,9,8
Johor,2011,10,2
Johor,2011,11,1
Johor,2011,12,6
Johor,2011,13,4
Johor,2011,14,6
Johor,2011,15,5
Johor,2011,16,15
Johor,2011,17,11
Johor,2011,18,7
Johor,2011,19,8
Johor,2011,20,9
Johor,2011,21,2
Johor,2011,22,19
Johor,2011,23,10
Johor,2011,24,8
Johor,2011,25,3
Johor,2011,26,2
Johor,2011,27,3
Johor,2011,28,7
Johor,2011,29,8
Johor,2011,30,94
Johor,2011,31,5
Johor,2011,32,25
Johor,2011,33,4
Johor,2011,34,17
Johor,2011,35,2
Johor,2011,36,4
Johor,2011,37,4
Johor,2011,38,18
Johor,2011,39,14
Johor,2011,40,10
Johor,2011,41,13
Johor,2011,42,10
Johor,2011,43,12
Johor,2011,44,23
Johor,2011,45,4
Johor,2011,46,8
Johor,2011,47,9
Johor,2011,48,20
Johor,2011,49,5
Johor,2011,50,13
Johor,2011,51,3
Johor,2011,52,13
Johor,2012,1,10
Johor,2012,2,15
Johor,2012,3,14
Johor,2012,4,3
Johor,2012,5,11
Johor,2012,6,5
Johor,2012,7,8
Johor,2012,8,31
Johor,2012,9,34
Johor,2012,10,79
Johor,2012,11,55
Johor,2012,12,78
Johor,2012,13,52
Johor,2012,14,58
Johor,2012,15,69
Johor,2012,16,142
Johor,2012,17,218
Johor,2012,18,75
Johor,2012,19,195
Johor,2012,20,149
Johor,2012,21,120
Johor,2012,22,109
Johor,2012,23,92
Johor,2012,24,63
Johor,2012,25,55
Johor,2012,26,60
Johor,2012,27,27
Johor,2012,28,48
Johor,2012,29,74
Johor,2012,30,23
Johor,2012,31,47
Johor,2012,32,30
Johor,2012,33,17
Johor,2012,34,3
Johor,2012,35,6
Johor,2012,36,9
Johor,2012,37,25
Johor,2012,38,23
Johor,2012,39,23
Johor,2012,40,22
Johor,2012,41,14
Johor,2012,42,23
Johor,2012,43,19
Johor,2012,44,21
Johor,2012,45,11
Johor,2012,46,8
Johor,2012,47,10
Johor,2012,48,4
Johor,2012,49,3
Johor,2012,50,5
Johor,2012,51,1
Johor,2012,52,22
Johor,2013,1,8
Johor,2013,2,9
Johor,2013,3,15
Johor,2013,4,19
Johor,2013,5,16
Johor,2013,6,20
Johor,2013,7,7
Johor,2013,8,34
Johor,2013,9,18
Johor,2013,10,51
Johor,2013,11,70
Johor,2013,12,74
Johor,2013,13,65
Johor,2013,14,39
Johor,2013,15,60
Johor,2013,16,42
Johor,2013,17,37
Johor,2013,18,86
Johor,2013,19,59
Johor,2013,20,46
Johor,2013,21,47
Johor,2013,22,35
Johor,2013,23,75
Johor,2013,24,52
Johor,2013,25,38
Johor,2013,26,24
Johor,2013,27,35
Johor,2013,28,22
Johor,2013,29,54
Johor,2013,30,27
Johor,2013,31,22
Johor,2013,32,7
Johor,2013,33,5
Johor,2013,34,36
Johor,2013,35,18
Johor,2013,36,36
Johor,2013,37,26
Johor,2013,38,58
Johor,2013,39,25
Johor,2013,40,46
Johor,2013,41,68
Johor,2013,42,28
Johor,2013,43,36
Johor,2013,44,20
Johor,2013,45,32
Johor,2013,46,42
Johor,2013,47,35
Johor,2013,48,29
Johor,2013,49,24
Johor,2013,50,21
Johor,2013,51,26
Johor,2013,52,16
Johor,2014,1,8
Johor,2014,2,2
Johor,2014,3,15
Johor,2014,4,22
Johor,2014,5,12
Johor,2014,6,13
Johor,2014,7,12
Johor,2014,8,31
Johor,2014,9,39
Johor,2014,10,39
Johor,2014,11,91
Johor,2014,12,63
Johor,2014,13,63
Johor,2014,14,99
Johor,2014,15,47
Johor,2014,16,88
Johor,2014,17,44
Johor,2014,18,34
Johor,2014,19,61
Johor,2014,20,86
Johor,2014,21,39
Johor,2014,22,51
Johor,2014,23,58
Johor,2014,24,14
Johor,2014,25,28
Johor,2014,26,32
Johor,2014,27,37
Johor,2014,28,16
Johor,2014,29,21
Johor,2014,30,14
Johor,2014,31,7
Johor,2014,32,17
Johor,2014,33,13
Johor,2014,34,24
Johor,2014,35,30
Johor,2014,36,21
Johor,2014,37,55
Johor,2014,38,16
Johor,2014,39,38
Johor,2014,40,51
Johor,2014,41,61
Johor,2014,42,64
Johor,2014,43,102
Johor,2014,44,78
Johor,2014,45,75
Johor,2014,46,71
Johor,2014,47,46
Johor,2014,48,47
Johor,2014,49,64
Johor,2014,50,65
Johor,2014,51,42
Johor,2014,52,51
Johor,2014,53,31
Johor,2015,1,42
Johor,2015,2,48
Johor,2015,3,81
Johor,2015,4,70
Johor,2015,5,37
Johor,2015,6,109
Johor,2015,7,50
Johor,2015,8,81
Johor,2015,9,87
Johor,2015,10,78
Johor,2015,11,64
Johor,2015,12,54
Johor,2015,13,58
Johor,2015,14,58
Johor,2015,15,104
Johor,2015,16,107
Johor,2015,17,72
Johor,2015,18,62
Johor,2015,19,42
Johor,2015,20,45
Johor,2015,21,79
Johor,2015,22,49
Johor,2015,23,28
Johor,2015,24,11
Johor,2015,25,50
Johor,2015,26,16
Johor,2015,27,28
Johor,2015,28,13
Johor,2015,29,8
Johor,2015,30,19
Johor,2015,31,22
Johor,2015,32,34
Johor,2015,33,25
Johor,2015,34,26
Johor,2015,35,22
Johor,2015,36,32
Johor,2015,37,27
Johor,2015,38,17
Johor,2015,39,6
Johor,2015,40,24
Johor,2015,41,22
Johor,2015,42,17
Johor,2015,43,4
Johor,2015,44,24
Johor,2015,45,18
Johor,2015,46,11
Johor,2015,47,18
Johor,2015,48,4
Johor,2015,49,10
Johor,2015,50,8
Johor,2015,51,9
Johor,2015,52,11
Johor,2016,1,20
Johor,2016,2,35
Johor,2016,3,16
Johor,2016,4,22
Johor,2016,5,37
Johor,2016,6,7
Johor,2016,7,23
Johor,2016,8,34
Johor,2016,9,35
Johor,2016,10,69
Johor,2016,11,50
Johor,2016,12,51
Johor,2016,13,95
Johor,2016,14,37
Johor,2016,15,48
Johor,2016,16,58
Johor,2016,17,70
Johor,2016,18,36
Johor,2016,19,139
Johor,2016,20,115
Johor,2016,21,146
Johor,2016,22,141
Johor,2016,23,111
Johor,2016,24,91
Johor,2016,25,97
Johor,2016,26,133
Johor,2016,27,54
Johor,2016,28,139
Johor,2016,29,91
Johor,2016,30,91
Johor,2016,31,205
Johor,2016,32,220
Johor,2016,33,162
Johor,2016,34,170
Johor,2016,35,95
Johor,2016,36,140
Johor,2016,37,73
Johor,2016,38,70
Johor,2016,39,94
Johor,2016,40,101
Johor,2016,41,90
Johor,2016,42,47
Johor,2016,43,56
Johor,2016,44,50
Johor,2016,45,31
Johor,2016,46,56
Johor,2016,47,54
Johor,2016,48,35
Johor,2016,49,54
