state,year,week,incidence
Johor,2014,1,56
Johor,2014,2,49
Johor,2014,3,38
Johor,2014,4,42
Johor,2014,5,34
Johor,2014,6,48
Johor,2014,7,48
Johor,2014,8,39
Johor,2014,9,49
Johor,2014,10,28
Johor,2014,11,70
Johor,2014,12,54
Johor,2014,13,13
Johor,2014,14,45
Johor,2014,15,26
Johor,2014,16,57
Johor,2014,17,56
Johor,2014,18,18
Johor,2014,19,20
Johor,2014,20,36
Johor,2014,21,34
Johor,2014,22,30
Johor,2014,23,20
Johor,2014,24,60
Johor,2014,25,75
Johor,2014,26,40
Johor,2014,27,36
Johor,2014,28,24
Johor,2014,29,64
Johor,2014,30,25
Johor,2014,31,6
Johor,2014,32,25
Johor,2014,33,68
Johor,2014,34,22
Johor,2014,35,30
Johor,2014,36,19
Johor,2014,37,22
Johor,2014,38,27
Johor,2014,39,28
Johor,2014,40,111
Johor,2014,41,15
Johor,2014,42,18
Johor,2014,43,148
Johor,2014,44,10
Johor,2014,45,27
Johor,2014,46,118
Johor,2014,47,39
Johor,2014,48,31
Johor,2014,49,32
Johor,2014,50,86
Johor,2014,51,72
Johor,2014,52,90
Johor,2014,53,12
Johor,2015,1,53
Johor,2015,2,20
Johor,2015,3,29
Johor,2015,4,39
Johor,2015,5,28
Johor,2015,6,51
Johor,2015,7,42
Johor,2015,8,35
Johor,2015,9,97
Johor,2015,10,50
Johor,2015,11,53
Johor,2015,12,38
Johor,2015,13,45
Johor,2015,14,43
Johor,2015,15,83
Johor,2015,16,71
Johor,2015,17,49
Johor,2015,18,25
Johor,2015,19,66
Johor,2015,20,53
Johor,2015,21,45
Johor,2015,22,61
Johor,2015,23,38
Johor,2015,24,42
Johor,2015,25,35
Johor,2015,26,57
Johor,2015,27,38
Johor,2015,28,21
Johor,2015,29,40
Johor,2015,30,37
Johor,2015,31,47
Johor,2015,32,73
Johor,2015,33,36
Johor,2015,34,34
Johor,2015,35,52
Johor,2015,36,45
Johor,2015,37,40
Johor,2015,38,25
Johor,2015,39,35
Johor,2015,40,55
Johor,2015,41,53
Johor,2015,42,46
Johor,2015,43,49
Johor,2015,44,23
Johor,2015,45,71
Johor,2015,46,43
Johor,2015,47,49
Johor,2015,48,36
Johor,2015,49,30
Johor,2015,50,77
Johor,2015,51,33
Johor,2015,52,73
Johor,2016,1,40
Johor,2016,2,49
Johor,2016,3,67
Johor,2016,4,41
Johor,2016,5,35
Johor,2016,6,15
Johor,2016,7,49
Johor,2016,8,60
Johor,2016,9,22
Johor,2016,10,44
Johor,2016,11,44
Johor,2016,12,34
Johor,2016,13,34
Johor,2016,14,30
Johor,2016,15,34
Johor,2016,16,38
Johor,2016,17,59
Johor,2016,18,29
Johor,2016,19,10
Johor,2016,20,48
Johor,2016,21,22
Johor,2016,22,58
Johor,2016,23,54
Johor,2016,24,52
Johor,2016,25,31
Johor,2016,26,75
Johor,2016,27,6
Johor,2016,28,42
Johor,2016,29,40
Johor,2016,30,34
Johor,2016,31,60
Johor,2016,32,49
Johor,2016,33,48
Johor,2016,34,56
Johor,2016,35,13
Johor,2016,36,72
Johor,2016,37,26
Johor,2016,38,21
Johor,2016,39,88
Johor,2016,40,60
Johor,2016,41,51
Johor,2016,42,31
Johor,2016,43,62
Johor,2016,44,46
Johor,2016,45,48
Johor,2016,46,36
Johor,2016,47,51
Johor,2016,48,52
Johor,2016,49,47
Johor,2016,50,24
Johor,2016,51,94
Johor,2016,52,94
Johor,2017,1,26
Johor,2017,2,18
Johor,2017,3,30
Johor,2017,4,53
Johor,2017,5,42
Johor,2017,6,50
Johor,2017,7,39
Johor,2017,8,32
Johor,2017,9,42
Johor,2017,10,36
Johor,2017,11,23
Johor,2017,12,41
Johor,2017,13,51
Johor,2017,14,37
Johor,2017,15,64
Johor,2017,16,39
Johor,2017,17,16
Johor,2017,18,58
Johor,2017,19,24
Johor,2017,20,42
Johor,2017,21,45
Johor,2017,22,55
Johor,2017,23,35
Johor,2017,24,48
Johor,2017,25,72
Johor,2017,26,25
Johor,2017,27,36
Johor,2017,28,28
Johor,2017,29,62
Johor,2017,30,37
Johor,2017,31,49
Johor,2017,32,50
Johor,2017,33,57
Johor,2017,34,55
Johor,2017,35,17
Johor,2017,36,28
Johor,2017,37,51
Johor,2017,38,66
Johor,2017,39,56
Johor,2017,40,66
Johor,2017,41,42
Johor,2017,42,44
Johor,2017,43,46
Johor,2017,44,26
Johor,2017,45,82
Johor,2017,46,40
Johor,2017,47,42
Johor,2017,48,56
Johor,2017,49,30
Johor,2017,50,31
Johor,2017,51,65
Johor,2017,52,46
Kedah,2014,1,27
Kedah,2014,2,14
Kedah,2014,3,27
Kedah,2014,4,19
Kedah,2014,5,18
Kedah,2014,6,16
Kedah,2014,7,22
Kedah,2014,8,24
Kedah,2014,9,17
Kedah,2014,10,21
Kedah,2014,11,26
Kedah,2014,12,31
Kedah,2014,13,13
Kedah,2014,14,33
Kedah,2014,15,27
Kedah,2014,16,39
Kedah,2014,17,23
Kedah,2014,18,31
Kedah,2014,19,25
